product_name,description,label,categ_0,reshaped_image_path
Vitamins Graphic Print Baby Girl's Basic Shorts,"Key Features of Vitamins Graphic Print Baby Girl's Basic Shorts Cotton ANTRA MELANGE,Specifications of Vitamins Graphic Print Baby Girl's Basic Shorts General Details Ideal For Baby Girl's Occasion Casual Pattern Graphic Print Shorts Details Type Basic Shorts Fabric Cotton Number of Contents in Sales Package Pack of 1 Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach Additional Details Style Code 05TG-870-26-ANTRA MELANGE In the Box 1 SHORTS",0,baby care,sampled_reshaped_images/7a3f11f380a1bf85338ab3771ff81e9f.jpg
Sparklings Cotton Geometric Double Bedsheet,"Key Features of Sparklings Cotton Geometric Double Bedsheet Best Fit For:-Large Size Double Bed(6.5 ft X 6 ft) Thread Count:160 TC Package Content:1 Double Bedsheet With 2 Pillow Cover,Sparklings Cotton Geometric Double Bedsheet (double bedsheet with pillow covers, Multicolor) Price: Rs. 539 There are days when you don’t want to socialise, and just curl up on your bed, and read, or watch your favourite TV show. For those days, you can jazz up your bedroom décor, by spreading this double bedsheet from SPARKLINGS to pep up your mood. Print that you will Love The blend of abstract and floral prints gives this bedsheet an appealing look. Cotton You wouldn’t want to leave your bedroom anymore, as the bedsheet and two pillow covers are made of cotton to help you relax your body and mind as soon as you hit the bed.,Specifications of Sparklings Cotton Geometric Double Bedsheet (double bedsheet with pillow covers, Multicolor) General Brand Sparklings Machine Washable Yes Type Flat Material Cotton Model Name BDOA507SPK Ideal For Boys & Girls Model ID BDOA507SPK Color Multicolor Size Double Fabric Care First few wash separately, Dark colors to be wash separately, Cold machine wash, Do not use strong Detergent, Do not Bleach, Do not Tumble Dry, Do not Iron on Prints, Do not soak for long time, Dry In Shade. Dimensions Flat Sheet Width 89 inch / 228 cm Fitted Sheet Width 0 cm Pillow Cover Width 17 inch / 45 cm Pillow Cover Length 27 inch / 69 cm Weight 450 g Fitted Sheet Depth 0 cm Fitted Sheet Length 0 cm Flat Sheet Depth 3 cm Flat Sheet Length 89 inch / 228 cm In the Box Number of Contents in Sales Package 1 Sales Package double bedsheet with pillow covers Additional Features Product color may vary due to photogenic effect",0,baby care,sampled_reshaped_images/0906fd9cc604fbba05a502e01d763cd9.jpg
Neyth Cotton Set of Towels,Buy Neyth Cotton Set of Towels at Rs. 170 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,0,baby care,sampled_reshaped_images/22ac36ba254a68d7dd6173f099771147.jpg
"You Got Plan B Baby Boy's, Baby Girl's Romper","Key Features of You Got Plan B Baby Boy's, Baby Girl's Romper Fabric: Cotton Brand Color: Orange,You Got Plan B Baby Boy's, Baby Girl's Romper Price: Rs. 449 For the much awaited and confident baby. He/ she knows everyones been waiting for him and he's raring to go! Made with 100% cotton,Specifications of You Got Plan B Baby Boy's, Baby Girl's Romper Dimensions Length 16 inch General Details Age Group 3 -  12 month Fabric Cotton Pattern Solid Ideal For Baby Boy's, Baby Girl's Fabric Care Machine wash with warm water. Do not tumble dry. No bleach. Warm ironing. Wash and dry dark colours seperately",0,baby care,sampled_reshaped_images/46ca672fdfff8a1b3641642a9795344a.jpg
"Wild Ferns Lanolin Eye Creme with Collagen, Vitamins A & E","Buy Wild Ferns Lanolin Eye Creme with Collagen, Vitamins A & E for Rs.2400 online. Wild Ferns Lanolin Eye Creme with Collagen, Vitamins A & E at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.",1,beauty and personal care,sampled_reshaped_images/a67d4b8df18ac476cd1b0bbd80e589a4.jpg
SOS COMPUTRISED LCD INTRFERENTIAL UNIT-125PROG. MUSCLE SPASM Electrotherapy Device,Specifications of SOS COMPUTRISED LCD INTRFERENTIAL UNIT-125PROG. MUSCLE SPASM Electrotherapy Device (SOS-121) General Treatment Time 30 mnts or as desired Display Type LCD Number of Programmable Profiles 125 Designed For mussel or nerve contracture Electrodes 8 Warranty Covered in Warranty one year Warranty Summary one year Warranty Service Type offline service Not Covered in Warranty Breakage / Mishandling Power Features Battery Type N/A In the Box Sales Package one machine,1,beauty and personal care,sampled_reshaped_images/640fd08bb3ba538d67a5c0c2c61a5c4c.jpg
Oxyglow Bearberry Face Wash & Fruit Massage Cream With Vitamin-E,Buy Oxyglow Bearberry Face Wash & Fruit Massage Cream With Vitamin-E for Rs.407 online. Oxyglow Bearberry Face Wash & Fruit Massage Cream With Vitamin-E at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,1,beauty and personal care,sampled_reshaped_images/0b793c1727ef52285a25dedf8b86626b.jpg
Engage Tease and Tease Combo Set,Flipkart.com: Buy Engage Tease and Tease Combo Set online only for Rs. 350 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,1,beauty and personal care,sampled_reshaped_images/ab3f4b2d2ec007b7e0eaec213bfdbffc.jpg
PRINT SHAPES roronoa Zora Laptop Skin with Mouse pad Combo Set,"Key Features of PRINT SHAPES roronoa Zora Laptop Skin with Mouse pad Combo Set Glue Free Removal 15.6 inches Laptop skin Easy to Apply & Scratch Resistant Lamination,PRINT SHAPES roronoa Zora Laptop Skin with Mouse pad Combo Set (Multicolor) Price: Rs. 329 Print Shapes Laptop skin made on High Quality vinyl sheet is compatible with laptops screen sizes ranging from 14.1 inches to 15.6 inches. Trimning of the skin would be required as per your laptop size. The skins are easy to install & remove without leaving any gum or residue,Specifications of PRINT SHAPES roronoa Zora Laptop Skin with Mouse pad Combo Set (Multicolor) General Brand PRINT SHAPES Model Name roronoa Zora Laptop Skin with Mouse pad Suitable_for All types of Laptop Color Multicolor Warranty Warranty Summary No Warranty In the Box Number of Contents in Sales Package Pack of 2",2,computers,sampled_reshaped_images/8141b9d5af35017a907b1e88c17f7963.jpg
99Gems Smart OTG Connection kit USB USB Cable,"99Gems Smart OTG Connection kit USB USB Cable (Black)
                         Price: Rs. 199
				
			Features: Works on microUSB smart phone devices On-To-Go Function (OTG) - Allows you to connect USB devices such as keyboard, mouse and USB flash drive to your OTG compatible phone or tablet Small and Light, easy to carry Plug and Play COMPATIBLE: ALMOST ALL DEVICES WITH OTG SUPPORT
Features: Works on microUSB smart phone devices On-To-Go Function (OTG) - Allows you to connect USB devices such as keyboard, mouse and USB flash drive to your OTG compatible phone or tablet Small and Light, easy to carry Plug and Play COMPATIBLE: ALMOST ALL DEVICES WITH OTG SUPPORT",2,computers,sampled_reshaped_images/a41371b2f8859b015031f0d5eda5184c.jpg
